fact,explanation,reachability,fidelity,uncertainty,gen_time
"[2, 1, 18, 0, 30, 8, 0, 0, 8, 2, 30, 4, 0, 0, 4, 0, 30, 0, 8, 0, 8, 0, 30, 7, 1, 0, 8, 0, 30, 4, 1, 0, 5, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 9, 6, 0, 15, 1, 30, 6, 0, 0, 6, 1, 30, 3, 12, 0, 15, 0, 30, 9, 6, 0, 15, 0, 30, 5, 4, 0, 9, 1, -15, 3, 1]",1.0,0.8389234442474305,1.0,118.85255312919617
"[2, 0, 20, 0, 30, 4, 4, 0, 8, 1, 30, 7, 1, 0, 8, 0, 30, 2, 6, 0, 8, 3, 30, 8, 0, 0, 8, 3, 30, 5, 0, 0, 5, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 4, 16, 0, 20, 0, 30, 7, 3, 0, 10, 1, 30, 6, 14, 0, 20, 0, 30, 6, 14, 0, 20, 0, 30, 9, 4, 0, 13, 1, -15, 3, 1]",1.0,0.8458542130364819,1.0,119.34703516960144
"[2, 4, 24, 0, 30, 6, 0, 0, 6, 2, 30, 4, 0, 0, 4, 4, 30, 5, 1, 0, 6, 0, 30, 1, 5, 0, 6, 2, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 8, 5, 0, 13, 0, 30, 6, 0, 0, 6, 1, 30, 9, 4, 0, 13, 0, 30, 2, 11, 0, 13, 0, 30, 8, 0, 0, 8, 1, -15, 3, 1]",1.0,0.7663171169400115,1.0,121.3531391620636
"[2, 3, 8, 2, 30, 7, 0, 0, 7, 2, 30, 2, 0, 0, 2, 0, 30, 5, 2, 0, 7, 0, 30, 5, 2, 0, 7, 4, 30, 3, 0, 0, 3, 0, -27, 3, 0]","[2, 2, 1, 0, 30, 10, 4, 0, 14, 2, 30, 4, 0, 0, 4, 1, 30, 8, 6, 0, 14, 0, 30, 6, 8, 0, 14, 1, 30, 7, 0, 0, 7, 0, -27, 3, 0]",1.0,0.7778105279740661,1.0,121.1246018409729
"[2, 4, 24, 0, 30, 5, 1, 0, 6, 2, 30, 4, 0, 0, 4, 5, 30, 6, 0, 0, 6, 0, 30, 1, 5, 0, 6, 3, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 6, 7, 0, 13, 0, 30, 6, 0, 0, 6, 1, 30, 11, 2, 0, 13, 0, 30, 2, 11, 0, 13, 1, 30, 8, 0, 0, 8, 1, -15, 3, 1]",1.0,0.8417034483170528,1.0,123.17690134048462
"[2, 2, 14, 1, 30, 6, 3, 0, 9, 2, 30, 6, 0, 0, 6, 3, 30, 2, 7, 0, 9, 1, 30, 9, 0, 0, 9, 4, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 8, 8, 0, 16, 1, 30, 8, 0, 0, 8, 1, 30, 5, 11, 0, 16, 0, 30, 11, 5, 0, 16, 2, 30, 8, 0, 0, 8, 1, -15, 3, 1]",1.0,0.8346649582050787,1.0,123.4154908657074
"[2, 2, 11, 0, 30, 5, 7, 0, 12, 0, 30, 4, 0, 0, 4, 0, 30, 7, 5, 0, 12, 6, 30, 7, 5, 0, 12, 7, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 6, 13, 0, 19, 1, 30, 6, 0, 0, 6, 1, 30, 7, 12, 0, 19, 0, 30, 14, 5, 0, 19, 4, 30, 8, 0, 0, 8, 1, -15, 3, 1]",1.0,0.9096459769107126,1.0,122.29695725440979
"[2, 1, 33, 1, 30, 2, 9, 0, 11, 4, 30, 4, 0, 0, 4, 1, 30, 10, 1, 0, 11, 3, 30, 4, 7, 0, 11, 8, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 4, 14, 0, 18, 2, 30, 6, 0, 0, 6, 2, 30, 15, 3, 0, 18, 0, 30, 8, 10, 0, 18, 2, 30, 8, 0, 0, 8, 1, -15, 3, 1]",1.0,0.8281178436009791,1.0,128.98164200782776
"[2, 3, 24, 1, 30, 6, 0, 0, 6, 2, 30, 4, 0, 0, 4, 4, 30, 6, 0, 0, 6, 0, 30, 1, 5, 0, 6, 0, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 9, 4, 0, 13, 0, 30, 6, 0, 0, 6, 1, 30, 10, 3, 0, 13, 0, 30, 2, 11, 0, 13, 0, 30, 6, 2, 0, 8, 1, -15, 3, 1]",1.0,0.7064147770137488,1.0,124.91088938713074
"[2, 1, 13, 2, 30, 7, 0, 0, 7, 0, 30, 4, 0, 0, 4, 2, 30, 6, 1, 0, 7, 10, 30, 6, 1, 0, 7, 5, 30, 4, 0, 0, 4, 1, -15, 3, 1]","[2, 2, 1, 0, 30, 10, 4, 0, 14, 1, 30, 6, 0, 0, 6, 1, 30, 8, 6, 0, 14, 4, 30, 13, 1, 0, 14, 3, 30, 8, 0, 0, 8, 1, -15, 3, 1]",1.0,0.5919787480357694,1.0,127.10232377052307
