fact,explanation,gen_time
"[2, 4, 21, 1, 30, 3, 0, 0, 3, 6, 30, 2, 0, 0, 2, 0, 30, 2, 1, 0, 3, 2, 30, 1, 2, 0, 3, 0, 30, 1, 0, 0, 1, 1, -15, 3, 1, 639]","[2, 2, 1, 1, 30, 3, 0, 0, 3, 6, 30, 2, 0, 0, 2, 0, 30, 2, 1, 0, 3, 2, 30, 1, 2, 0, 3, 0, 30, 1, 0, 0, 1, -15, 3, 1, 639, 39]",968.7779316902161
"[2, 0, 29, 0, 30, 6, 8, 0, 14, 9, 30, 8, 4, 0, 12, 0, 30, 2, 12, 0, 14, 1, 30, 9, 5, 0, 14, 0, 30, 4, 5, 0, 9, 1, -15, 3, 1, 899]","[2, 2, 1, 0, 30, 0, 5, 0, 5, 0, 30, 4, 4, 0, 8, 0, 30, 1, 4, 0, 5, 4, 30, 2, 3, 0, 5, 0, 30, 2, 2, 0, 4, -15, 3, 1, 879, 39]",689.1351251602173
"[2, 3, 32, 0, 30, 8, 1, 0, 9, 5, 30, 2, 0, 0, 2, 0, 30, 6, 3, 0, 9, 0, 30, 8, 1, 0, 9, 0, 30, 2, 0, 0, 2, 1, -15, 3, 1, 979]","[2, 2, 1, 0, 30, 8, 1, 0, 9, 5, 30, 2, 0, 0, 2, 0, 30, 6, 3, 0, 9, 0, 30, 8, 1, 0, 9, 0, 30, 2, 0, 0, 2, -15, 3, 1, 979, 39]",684.3596005439758
"[2, 1, 38, 0, 30, 6, 4, 0, 10, 4, 30, 4, 2, 0, 6, 0, 30, 1, 9, 0, 10, 0, 30, 2, 8, 0, 10, 11, 30, 6, 0, 0, 6, 1, -15, 3, 1, 1159]","[2, 2, 1, 0, 30, 6, 4, 0, 10, 4, 30, 4, 2, 0, 6, 0, 30, 1, 9, 0, 10, 0, 30, 2, 8, 0, 10, 11, 30, 6, 0, 0, 6, -15, 3, 1, 1159, 39]",637.9489195346832
"[2, 0, 31, 1, 30, 2, 2, 0, 4, 3, 30, 4, 0, 0, 4, 0, 30, 1, 3, 0, 4, 5, 30, 4, 0, 0, 4, 0, 30, 0, 3, 0, 3, 1, -15, 3, 1, 939]","[2, 2, 1, 1, 30, 4, 1, 0, 5, 0, 30, 2, 0, 0, 2, 1, 30, 1, 4, 0, 5, 2, 30, 2, 3, 0, 5, 0, 30, 2, 1, 0, 3, -15, 3, 1, 919, 39]",684.7097852230072
"[2, 0, 5, 0, 30, 0, 5, 0, 5, 3, 30, 0, 4, 0, 4, 0, 30, 0, 5, 0, 5, 0, 30, 3, 2, 0, 5, 0, 30, 0, 2, 0, 2, 0, -27, 3, 0, 159]","[2, 2, 1, 2, 30, 8, 0, 0, 8, 0, 30, 2, 2, 0, 4, 1, 30, 8, 0, 0, 8, 0, 30, 2, 6, 0, 8, 0, 30, 4, 0, 0, 4, -27, 3, 0, 139, 39]",660.833331823349
"[2, 4, 14, 3, 30, 9, 0, 0, 9, 0, 30, 6, 0, 0, 6, 0, 30, 1, 8, 0, 9, 2, 30, 9, 0, 0, 9, 0, 30, 3, 1, 0, 4, 1, -15, 3, 1, 439]","[2, 2, 1, 3, 30, 9, 0, 0, 9, 0, 30, 6, 0, 0, 6, 0, 30, 1, 8, 0, 9, 0, 30, 9, 0, 0, 9, 0, 30, 3, 1, 0, 4, -15, 3, 1, 439, 39]",584.3240859508514
"[2, 1, 30, 3, 30, 3, 2, 0, 5, 2, 30, 2, 0, 0, 2, 1, 30, 1, 4, 0, 5, 6, 30, 2, 3, 0, 5, 0, 30, 2, 1, 0, 3, 1, -15, 3, 1, 919]","[2, 2, 1, 3, 30, 3, 2, 0, 5, 2, 30, 2, 0, 0, 2, 1, 30, 1, 4, 0, 5, 6, 30, 2, 3, 0, 5, 0, 30, 2, 1, 0, 3, -15, 3, 1, 919, 39]",715.3734793663025
"[2, 2, 32, 0, 30, 5, 4, 0, 9, 8, 30, 2, 0, 0, 2, 0, 30, 6, 3, 0, 9, 2, 30, 8, 1, 0, 9, 0, 30, 2, 0, 0, 2, 1, -15, 3, 1, 979]","[2, 2, 1, 0, 30, 5, 4, 0, 9, 8, 30, 2, 0, 0, 2, 0, 30, 6, 3, 0, 9, 2, 30, 8, 1, 0, 9, 0, 30, 2, 0, 0, 2, -15, 3, 1, 979, 39]",652.7295875549316
"[2, 4, 26, 5, 30, 9, 0, 0, 9, 0, 30, 2, 2, 0, 4, 2, 30, 0, 9, 0, 9, 0, 30, 6, 3, 0, 9, 2, 30, 1, 2, 0, 3, 1, -15, 3, 1, 799]","[2, 2, 1, 5, 30, 9, 0, 0, 9, 0, 30, 2, 2, 0, 4, 2, 30, 0, 9, 0, 9, 0, 30, 6, 3, 0, 9, 0, 30, 1, 2, 0, 3, -15, 3, 1, 799, 39]",740.3672142028809
