0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
2,2,7,0,30,2,2,0,4,2,30,2,0,0,2,0,30,1,3,0,4,0,30,1,3,0,4,1,30,2,0,0,2,0,-27,3,0
2,2,13,1,30,6,1,0,7,0,30,4,0,0,4,2,30,6,1,0,7,10,30,6,1,0,7,3,30,4,0,0,4,1,-15,3,1
2,4,13,1,30,6,1,0,7,0,30,4,0,0,4,2,30,6,1,0,7,10,30,6,1,0,7,3,30,4,0,0,4,1,-15,3,1
2,2,17,2,30,9,5,0,14,2,30,6,0,0,6,0,30,6,8,0,14,2,30,5,9,0,14,3,30,4,0,0,4,1,-15,3,1
2,4,23,3,30,6,7,0,13,3,30,6,0,0,6,6,30,13,0,0,13,0,30,5,8,0,13,2,30,5,1,0,6,1,-15,3,1
2,1,25,2,30,10,4,0,14,3,30,6,0,0,6,0,30,5,9,0,14,1,30,5,9,0,14,4,30,5,1,0,6,1,-15,3,1
2,0,26,0,30,5,4,0,9,4,30,4,0,0,4,2,30,1,8,0,9,0,30,2,7,0,9,5,30,1,2,0,3,1,-15,3,1
2,2,26,0,30,5,4,0,9,4,30,4,0,0,4,2,30,1,8,0,9,0,30,2,7,0,9,5,30,1,2,0,3,1,-15,3,1
2,1,27,1,30,4,11,0,15,0,30,1,1,0,2,0,30,6,9,0,15,2,30,5,10,0,15,1,30,6,0,0,6,1,-15,3,1
2,3,39,0,30,4,7,0,11,6,30,6,0,0,6,0,30,6,5,0,11,0,30,2,9,0,11,3,30,5,0,0,5,1,-15,3,1
2,1,4,3,30,8,0,0,8,5,30,4,0,0,4,3,30,1,7,0,8,0,30,5,3,0,8,2,30,3,1,0,4,0,-27,3,0
2,1,5,0,30,2,3,0,5,2,30,4,0,0,4,0,30,0,5,0,5,0,30,1,4,0,5,0,30,1,1,0,2,0,-27,3,0
